Product Name,Category,INGREDIENTS,COST,Quantity Produced,Unit,Cost per Unit (₦),Selling Price (₦)
AREEJ,Areej (Standard),9,5911,1,batch,5911.11,8867
KAJIJI,Areej (Standard),25,3020,1,batch,3020.00,4530
GAHR,Areej (Standard),10,6260,1,batch,6260.00,9390
OUD,Areej (Standard),17,3771,1,batch,3770.59,5656
