Product Name,Category,INGREDIENTS,COST,Quantity Produced,Unit,Cost per Unit (₦),Selling Price (₦)
AREEJ,Areej (Standard),WOOD + SANDAL POWDER + FARCE + JAWEE + SANDAL OIL + WATER BASE + OILS + MASK + SUGAR + STICKERS + BOTTLES + Transaport fare + TOTOAL COST PRICE + PRODUCED,106409,10,pieces,10640.90,15961
KAJIJI,Areej (Standard),WOOD( 3 MUDUS) + SANDAL POWDER + FARCE + JAWEE + SANDAL OIL + WATER BASE + OILS + MASK + SUGAR + STICKERS + BOTTLES + TP + OIL(ARABIAN OUD),75500,10,pieces,7550.00,11325
GAHR,Areej (Standard),WOOD + SANDAL POWDER + FARCE + JAWEE + SANDAL OIL + WATER BASE + OILS + MASK + SUGAR + STICKERS + BOTTLES + TP,62600,10,pieces,6260.00,9390
OUD,Areej (Standard),WOOD + SANDAL POWDER + FARCE + JAWEE + SANDAL OIL + WATER BASE + OILS + MASK + SUGAR + STICKERS + BOTTLES + TP,64100,10,pieces,6410.00,9615
